rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
223,71,St. Thomas (MN),fcs,Pioneer,17.655351,3,1,0,11.671288
224,72,UT Martin,fcs,OVC,17.516581,1,3,0,26.394651
225,73,Elon,fcs,Coastal Athletic,16.829345,3,1,0,3.303012
226,14,Carson Newman,ii,South Atlantic,16.583148,4,0,0,-1.411839
227,74,Delaware State,fcs,MEAC,16.536054,2,2,0,19.707949
228,75,Fordham,fcs,Patriot,16.316595,1,3,0,33.836181
229,76,Lindenwood,fcs,OVC,16.312669,1,2,0,23.977124
230,77,Eastern Kentucky,fcs,UAC,16.124389,1,3,0,25.745448
231,78,East Texas A&M,fcs,Southland,16.099373,1,3,0,27.398048
232,79,Maine,fcs,Coastal Athletic,15.480186,1,3,0,24.674425
233,80,Columbia,fcs,Ivy,15.395929,1,0,0,15.386369
234,81,Lafayette,fcs,Patriot,15.386369,1,2,0,21.51422
235,82,Morgan State,fcs,MEAC,15.339593,3,1,0,10.908166
236,83,West Georgia,fcs,UAC,15.058517,0,4,0,29.425816
237,15,Kutztown,ii,Pennsylvania State Athletic,14.995674,3,0,0,-9.288772
238,84,New Hampshire,fcs,Coastal Athletic,14.798136,1,3,0,25.683834
239,85,Cornell,fcs,Ivy,14.699325,0,1,0,28.097862
240,16,Northeastern State,ii,Independent DII,14.510581,3,1,0,2.458699
241,17,Northwood,ii,Great Midwest Athletic,14.327823,3,0,0,-1.075446
242,86,Alabama A&M,fcs,SWAC,14.217316,3,1,0,0.758167
243,18,Central Missouri,ii,Mid America,14.145715,2,1,0,5.665446
244,2,Hardin Simmons,iii,American Southwest,14.039426,2,0,0,-2.954239
245,87,The Citadel,fcs,Southern,14.030138,1,2,0,19.420527
246,88,Eastern Illinois,fcs,OVC,13.7666,1,3,0,27.425256
247,19,Arkansas Tech,ii,Great American,13.766206,2,1,0,12.293142
248,89,Dayton,fcs,Pioneer,13.662908,3,0,0,-7.151499
249,20,Southwestern Oklahoma State,ii,Great American,13.561868,0,3,0,22.693219
250,90,Holy Cross,fcs,Patriot,13.301937,0,4,0,34.92767
251,91,Towson,fcs,Coastal Athletic,13.188369,0,4,0,31.138846
252,3,North Central College,iii,CCIW,13.187633,3,0,0,-9.654117
